customer_id,customer_id_original,risk_score,fraud_flag
10058,CUST111004,0.0,0
6587,CUST107201,0.0,0
8043,CUST108812,0.0,0
8202,CUST108988,0.0,0
2499,CUST102736,0.0,0
12413,CUST113560,0.0,0
296,CUST100323,98.0,1
11555,CUST112634,0.0,0
9275,CUST110154,0.0,0
8196,CUST108982,0.0,0
17458,CUST119058,0.0,0
1065,CUST101157,0.0,0
1152,CUST101251,0.0,0
2577,CUST102822,0.0,0
6878,CUST107531,0.0,0
3342,CUST103647,0.0,0
15814,CUST117262,0.0,0
14829,CUST116186,0.0,0
3243,CUST103539,0.0,0
9020,CUST109878,0.0,0
11320,CUST112385,0.0,0
7937,CUST108698,0.0,0
9359,CUST110249,0.0,0
9420,CUST110316,0.0,0
3077,CUST103360,1.0,0
10880,CUST111911,100.0,1
17180,CUST118748,0.0,0
16575,CUST118083,0.0,0
7400,CUST108112,0.0,0
13710,CUST114976,0.0,0
5756,CUST106299,0.0,0
7754,CUST108504,0.0,0
6046,CUST106611,0.0,0
12396,CUST113541,0.0,0
2220,CUST102428,0.0,0
8435,CUST109235,0.0,0
12780,CUST113955,0.0,0
15013,CUST116391,0.0,0
643,CUST100708,0.0,0
18078,CUST119737,0.0,0
8915,CUST109759,0.0,0
2429,CUST102661,0.0,0
2039,CUST102232,0.0,0
14286,CUST115608,0.0,0
9085,CUST109948,0.0,0
9154,CUST110025,0.0,0
8361,CUST109156,0.0,0
10569,CUST111574,0.0,0
12379,CUST113523,0.0,0
17253,CUST118827,0.0,0
7179,CUST107873,100.0,1
4822,CUST105271,0.0,0
14598,CUST115945,0.0,0
16512,CUST118015,0.0,0
15879,CUST117331,0.0,0
9388,CUST110280,0.0,0
1918,CUST102103,0.0,0
14366,CUST115696,0.0,0
1090,CUST101185,0.0,0
11139,CUST112191,0.0,0
14239,CUST115555,0.0,0
6848,CUST107498,0.0,0
1071,CUST101163,100.0,1
4389,CUST104788,0.0,0
3168,CUST103459,0.0,0
16947,CUST118493,0.0,0
13397,CUST114623,0.0,0
7665,CUST108408,0.0,0
7284,CUST107988,0.0,0
5072,CUST105547,0.0,0
7087,CUST107765,0.0,0
2363,CUST102587,0.0,0
5897,CUST106449,0.0,0
