customer_id,customer_id_original,risk_score,fraud_flag
9218,CUST111004,0.0,0
6037,CUST107201,0.0,0
7369,CUST108812,0.0,0
7520,CUST108988,0.0,0
2278,CUST102736,0.0,0
11376,CUST113560,0.0,0
273,CUST100323,100.0,1
10587,CUST112634,0.0,0
7515,CUST108982,0.0,0
15990,CUST119058,0.0,0
972,CUST101157,0.0,0
1050,CUST101251,0.0,0
2353,CUST102822,0.0,0
6303,CUST107531,0.0,0
3058,CUST103647,0.0,0
14477,CUST117262,0.0,0
13579,CUST116186,0.0,0
2967,CUST103539,0.0,0
8271,CUST109878,0.0,0
10374,CUST112385,0.0,0
7270,CUST108698,0.0,0
8577,CUST110249,0.0,0
8630,CUST110316,0.0,0
2813,CUST103360,1.0,0
9976,CUST111911,100.0,1
15733,CUST118748,0.0,0
15182,CUST118083,0.0,0
6778,CUST108112,0.0,0
5284,CUST106299,0.0,0
7098,CUST108504,0.0,0
5550,CUST106611,0.0,0
11361,CUST113541,0.0,0
2025,CUST102428,0.0,0
7734,CUST109235,0.0,0
11708,CUST113955,0.0,0
13750,CUST116391,0.0,0
16551,CUST119737,0.0,0
8177,CUST109759,0.0,0
2216,CUST102661,0.0,0
13081,CUST115608,0.0,0
8331,CUST109948,0.0,0
8393,CUST110025,0.0,0
7666,CUST109156,1.0,0
9694,CUST111574,0.0,0
11345,CUST113523,0.0,0
15800,CUST118827,0.0,0
6573,CUST107873,100.0,1
4432,CUST105271,0.0,0
13370,CUST115945,0.0,0
15123,CUST118015,0.0,0
14539,CUST117331,0.0,0
8604,CUST110280,0.0,0
1744,CUST102103,0.0,0
13155,CUST115696,0.0,0
995,CUST101185,0.0,0
13037,CUST115555,0.0,0
977,CUST101163,100.0,1
4036,CUST104788,0.0,0
15522,CUST118493,0.0,0
12267,CUST114623,0.0,0
7021,CUST108408,0.0,0
6669,CUST107988,0.0,0
6492,CUST107765,0.0,0
2160,CUST102587,0.0,0
5414,CUST106449,0.0,0
247,CUST100292,0.0,0
14045,CUST116739,0.0,0
11360,CUST113540,0.0,0
10542,CUST112583,1.0,0
16727,CUST119951,0.0,0
5598,CUST106669,0.0,0
2205,CUST102648,0.0,0
14477,CUST117262,0.0,0
13304,CUST115867,0.0,0
9415,CUST111255,0.0,0
15420,CUST118367,0.0,0
2144,CUST102569,0.0,0
10536,CUST112573,0.0,0
11543,CUST113761,0.0,0
